certificate;country;description;director;genre;isEpisode;original title;rating;ratingcount;runtime;stars;title;url;year
Argentina:16, Australia:M, Austria:14, Brazil:16, Canada:14A, Canada:14A, Colombia:15, Denmark:11, Egypt:18+, Finland:K-12, France:Tous publics, Germany:12, Hong Kong:IIB, Hungary:16, India:A, Indonesia:13+, Ireland:15A, Italy:T, Japan:PG12, Mexico:B, Netherlands:12, Netherlands:9, New Zealand:M, Norway:12, Poland:12, Portugal:M/12, Russia:18+, Singapore:NC16, South Africa:16, South Korea:15, Spain:16, Sweden:11, Switzerland:12, Taiwan:R-12, Turkey:13+, United Kingdom:15, United States:R, Ukraine:16, United Arab Emirates:16+;Lebanon;While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.;Nadine Labaki;Drama;false;Capharnaüm;8,4;90097;126;Zain Al Rafeea, Yordanos Shiferaw, Boluwatife Treasure Bankole;Capernaum (2018);https://www.imdb.com/title/tt8267604/;2018
Philippines:PG;Philippines;F.L.A.M.E.S. was formerly known as a primetime TV series in the Philippines then made it into a movie in 1997. The movie itself made it look similar to the TV show because the movie was divided into two episodes.;Khryss Adalia, Jerry Lopez Sineneng;Drama, Romance;false;;8,4;46;;Jolina Magdangal, Marvin Agustin, Bojo Molina;Flames: The Movie (1997);https://www.imdb.com/title/tt0216753/;1997
;Australia;When Paul is caught in a tough situation, he is spiralled into oblivion and is faced with his past demons. But in reality, will he let anger rule him or will he have the courage to walk away?;Henry Inglis;Short;false;;8,3;15;8;Fiona Cooper, Trevor Everett, Rona Lewis;Blank Point (2003);https://www.imdb.com/title/tt0446946/;2003
Argentina:16, Australia:MA15+, Brazil:14, Canada:13+, Colombia:12, Denmark:11, Finland:K-12, France:Tous publics, Germany:12, Hong Kong:III, Hungary:16, India:7, Ireland:15A, Israel:14, Italy:T, Japan:R15+, Mexico:B, Netherlands:12, New Zealand:R16, Norway:11, Poland:16, Portugal:M/12, Russia:16+, Singapore:R21, South Africa:16, South Korea:15, Spain:12, Sweden:15, Switzerland:12, Switzerland:12, Taiwan:12+, Turkey:15+, United Kingdom:15, United States:R;Denmark;"A teacher lives a lonely life, all the while struggling over his son&apos;s custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent li...";Thomas Vinterberg;Drama;false;Jagten;8,3;330537;115;Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkopp;The Hunt (2012);https://www.imdb.com/title/tt2106476/;2012
France:Tous publics;France;"&quot;Ernest and Rebecca&quot; tells the friendship in an amazing duo composed of a little girl and a microbe landed in the world of humans.";;Animation;false;;8,3;8;11;Kaycie Chase, Antoine Schoumsky;Ernest & Rebecca (2019);https://www.imdb.com/title/tt11312566/;2019
Argentina:18, Australia:MA15+, Brazil:14, Canada:14A, Canada:PG, Canada:13+, Chile:14, Denmark:15, Egypt:16+, France:Tous publics avec avertissement, Germany:12, Hungary:16, India:18, Israel:14, Italy:T, Japan:PG12, Lithuania:N-16, Mexico:B15, Netherlands:16, New Zealand:R16, Norway:15, Poland:16, Portugal:M/16, Russia:16+, Singapore:M18, South Korea:18, Spain:12, Sweden:15, Switzerland:14, Switzerland:14, Taiwan:12+, Turkey:15+, United Kingdom:15, United States:R, United Arab Emirates:16+;France;"Twins journey to the Middle East to discover their family history and fulfill their mother&apos;s last wishes.";Denis Villeneuve;Drama, Mystery;false;;8,3;178373;131;Lubna Azabal, Mélissa Désormeaux-Poulin, Maxim Gaudette;Incendies (2010);https://www.imdb.com/title/tt1255953/;2010
Argentina:Atp, Australia:PG, Brazil:12, Canada:PG, Canada:G, Finland:S, France:Tous Public, India:U, Italy:T, Netherlands:AL, Netherlands:AL, New Zealand:G, Poland:0, Portugal:M/12, Spain:A, United Kingdom:U, United States:Not Rated;India;Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work.;Satyajit Ray;Drama;false;;8,3;33464;125;Kanu Bannerjee, Karuna Bannerjee, Subir Banerjee;Pather Panchali (1955);https://www.imdb.com/title/tt0048473/;1955
India:UA 13+;India;A brave new generation of cops ACP Diler, Inspector Ranveer, Inspector Kavi and Inspector Abha have resolved to deliver their oath of safety and peace for its citizens in the most risky situations.;;Crime;false;;8,3;85;;Vaishnavi Dhanraj, Ragini Nandwani, Harshad Arora;Supercops V/S Supervillains (2012);https://www.imdb.com/title/tt10235886/;2012
;Italy;Starting from this maxim of Hemingway, the film is depicted through the metaphorical figure of a child accompanying us on a journey to discover the places and events lived by the American writer in Italy, paying particular attenti...;Emilio Briguglio;Biography;false;;8,3;12;80;Massimiliano Tondello, Vasco Mirandola, Diego Pagotto;My Name Is Ernest (2014);https://www.imdb.com/title/tt2524856/;2014
;Pakistan;A timeless tale of undying love. Maha (Kanwal Khan) is suffering from cardiomyopathy and Sameer (Armaan Ali Pasha) has a malignant brain tumor. Maha lost her parents at a young age and was adopted by her maternal aunt, who is chil...;Muhammad Ashar Asghar;Romance;false;;8,3;10;49;Kanwal Khan, Armaan Ali Pasha;Heartbeat (2021);https://www.imdb.com/title/tt21652888/;2021
;South Korea;A woman tries to kill a man she loves. but nobody killed.;Jungbum Shin;Short, Crime, Drama;false;;8,3;22;10;;In the Mood for Love (2006);https://www.imdb.com/title/tt2078643/;2006
;China;"Near the end of the Qing Dynasty, a renowned Chinese martial artist engages in a life-or-death battle with a feared Japanese military commander in order to prevent Japan&apos;s ultimate goal of seizing martial arts stronghold Tianjin.";Cheng Si-Yu;Action;false;;8,2;17;;Yang Feng, Yu-Hang To, Mei Xue;The Grandmaster of Kungfu (2019);https://www.imdb.com/title/tt15048126/;2019
Argentina:13, Australia:PG, Brazil:14, Denmark:11, Finland:K-12, Finland:K-16, France:Not Rated, France:Tous publics, Germany:12, Greece:K-12, Italy:T, Japan:G, Mexico:B, Norway:9, Norway:16, South Korea:12, Spain:13, Sweden:15, United Kingdom:A, United Kingdom:PG, United States:Passed;France;"In 1431, Jeanne d&apos;Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.";Carl Theodor Dreyer;Biography, Drama, History;false;"La passion de Jeanne d&apos;Arc";8,2;55437;114;Maria Falconetti, Eugene Silvain, André Berley;The Passion of Joan of Arc (1928);https://www.imdb.com/title/tt0019254/;1928
;France;The film reflects the pessimistic mood of the immediate post Gulf War era. It adapts a sad short story by the poet and former Arab League ambassador Ibrahim Shokrallah and intercuts it with his biography. His painful description o...;Viola Shafik;Documentary, Short;false;;8,2;14;29;Ali Bahzan, Azza Kamal;The Lemon Tree (1993);https://www.imdb.com/title/tt0477757/;1993
Australia:M, Canada:13+, Finland:K-16, Finland:K-16, France:Tous publics, Germany:16, Hungary:18, Italy:VM16, Italy:T, Italy:VM14, Italy:VM18, Japan:G, Norway:16, Sweden:15, United Kingdom:X, United Kingdom:15, United States:Not Rated, West Germany:18;France;Having recently been uprooted to Milan, Rocco and his four brothers each look for a new way in life when a prostitute comes between Rocco and his brother Simone.;Luchino Visconti;Crime, Drama, Sport;false;Rocco e i suoi fratelli;8,2;19412;179;Alain Delon, Renato Salvatori, Annie Girardot;Rocco and His Brothers (1960);https://www.imdb.com/title/tt0054248/;1960
Canada:14A, Canada:14A, India:U, New Zealand:M, Singapore:PG13, United Kingdom:12A, United Arab Emirates:PG-13;India;Youth Icon. Superstar. Action Hero. At the age of just 30, Maanav was at the peak of his career when he got caught up in an accident while filming in Haryana. Maanav, who was once a household name, is now living in hiding.;Anirudh Iyer;Action;false;;8,2;15142;130;Akshay Kumar, Ayushmann Khurrana, Nora Fatehi;An Action Hero (2022);https://www.imdb.com/title/tt15600222/;2022
;Ireland;Late-night petrol station clerk Charlie struggles with a monotonous string of deadbeats until Jess strolls onto the forecourt. But convincing her to stay proves difficult through the divide of the hatch.;Keith Browett;Short, Comedy, Romance;false;;8,2;9;15;Ross Mac Mahon, Grace Fitzgerald, Jonathan Ryan;Hatch (2013);https://www.imdb.com/title/tt3105820/;2013
;Israel;"Johan&apos;s girlfriend, Annelie ,has dumped him one month before their wedding. His best friend, Markus, buys him an inter-rail ticket and sends him off alone on a journey full of challenges. Challenges both the natural once appearing...";Karl Sterner Isaksson;Comedy, Drama;false;;8,2;13;95;Nuno Amaral, Anne Cazenave, Lucas Gren;Not Knowing Who You Are Is a Beautiful Source of Surprises (2016);https://www.imdb.com/title/tt6219148/;2016
Australia:MA15+, Canada:PG, Canada:14A, Canada:13+, Germany:16, New Zealand:R13, South Korea:15, United Kingdom:15, United States:TV-MA, United States:TV-14;Japan;"Ciel Phantomhive, the queen&apos;s watch dog, is given two tickets to go to a traveling circus for himself and his demon butler, Sebastian Michaelis. His job is to enter the circus and look for multiple missing children that are believ...";;Animation, Comedy, Fantasy;false;Kuroshitsuji: Book of Circus;8,2;1948;;Matthew Mercer, Kenichiro Ohashi, J. Michael Tatum;Black Butler: Book of Circus (2014);https://www.imdb.com/title/tt3639888/;2014
;Russia;Investigation into the attempted murder of Russian opposition leader Alexei Navalny;Alexei Navalny;Documentary;false;Delo raskryto. Ya znayu vseh, kto pytalsya menya ubit;8,2;1482;52;Yulia Navalnaya, Alexei Navalny, Vladimir Putin;The Case Is Solved. I Know Everyone Who Tried to Kill Me (2020);https://www.imdb.com/title/tt13876280/;2020
;Austria;More than three decades have passed since Richard Nixon declared the war on drugs. Today, drug trafficking exceeds 7% of global trade. The film shows how the war is being waged by examining the situation in Colombia and the United...;Sebastian J.F.;Documentary;false;;8,1;41;99;Sharanda Jones, Richard Paey, Jorge Enrique Botero;The War on Drugs (2007);https://www.imdb.com/title/tt0990452/;2007
Australia:MA15+, France:12, Netherlands:16, United Kingdom:15;France;"A young Jewish girl looking to escape the clutches of the Third Reich after seeing her parents and sister brutally slain while attempting to make their way to England is sheltered by an old friend whose status as a member of the &quot;...";Christian Faure;Drama, Romance, War;false;;8,1;3111;103;Jérémie Renier, Louise Monot, Bruno Todeschini;Un amour à taire (2005);https://www.imdb.com/title/tt0444518/;2005
;Hong Kong;"This documentary directed by Wong Kar-wai is about the making of his own film, &quot;In the Mood for Love&quot;.";Kar-Wai Wong;Documentary;false;;8,1;98;51;Maggie Cheung, Tony Chiu-Wai Leung, Rebecca Pan;@ in the Mood for Love (2001);https://www.imdb.com/title/tt16077670/;2001
India:U, Singapore:PG;India;"The protagonist embarks on an innovative concept of &quot;Emotional Suppliers&quot;. In this world where physical distances are rising, the story goes on to show how a vacuum has arisen in the emotional space of humans.";Chinmay Purohit;Drama;false;;8,1;146;145;Rohini Hattangadi, Darshan Jariwala, Prateeksha Lonkar;Oxygen (2018);https://www.imdb.com/title/tt8157482/;2018
Australia:PG, Canada:PG, Canada:G, New Zealand:PG, United Kingdom:12;Japan;Eight years after the One Year War, the Earth Federation creates an elite force called the Titans to hunt Zeon remnants. When Titans proves to be no better than Zeon, the Anti Earth Union Group (AEUG) is formed to restore peace in...;;Animation, Action, Drama;false;Kidô senshi Z Gundam;8,1;1324;30;Nobuo Tobita, Shûichi Ikeda, Hirotaka Suzuoki;Mobile Suit Zeta Gundam (1985);https://www.imdb.com/title/tt0159186/;1985
Argentina:16, Australia:MA15+, Brazil:18, Germany:16, United States:M;New Zealand;Online action RPG set in the dark fantasy world of Wraeclast. It is designed around a strong barter-based online item economy, deep character customization, competitive PvP and ladder races.;;Action, Adventure, Fantasy;false;;8,1;617;;Elliot Christensen-Yule, Chris Wilson, Sophie Hambleton;Path of Exile (2012);https://www.imdb.com/title/tt2417780/;2012
;Russia;"Jean Michel Jarre&apos;s outdoor concert in Moscow 1997.";Aubrey Powell;Documentary;false;;8,1;118;113;Laurent Faucheux, Jean-Michel Jarre, Dominique Mahut;Jean Michel Jarre: Oxygene in Moscow (1997);https://www.imdb.com/title/tt0301469/;1997
India:16, Indonesia:13+, Philippines:16+, Singapore:PG, Singapore:PG13, South Africa:13, South Korea:15, Thailand:16+, Turkey:13+, United Arab Emirates:13+;South Korea;A mermaid from the Joseon period ends up in present-day Seoul, where she crosses paths with a swindler who may have ties to someone from her past.;;Comedy, Drama, Fantasy;false;Pooreun Badaui Junsul;8,1;9615;1;Jun Ji-hyun, Lee Min-Ho, Lee Hee-joon;Legend of the Blue Sea (2016);https://www.imdb.com/title/tt5766194/;2016
Finland:S, Russia:6+, United Kingdom:Not Rated;Soviet Union;A little hedgehog, on the way to visit his friend the bear, gets lost in thick fog, where horses, dogs and even falling leaves take on a terrifying new aspect.;Yuri Norstein;Animation, Short, Drama;false;Yozhik v tumane;8,1;7359;11;Vyacheslav Nevinnyy, Mariya Vinogradova, Aleksey Batalov;Hedgehog in the Fog (1975);https://www.imdb.com/title/tt0073099/;1975
Argentina:16, Australia:MA15+, Brazil:16, Canada:14A, Canada:13+, Chile:18, Denmark:15, Finland:K-12, France:Tous publics, Germany:12, Hong Kong:IIB, Israel:16, Italy:T, Japan:PG12, Lithuania:N-16, Mexico:B-15, Netherlands:16, New Zealand:R16, Norway:15, Poland:12, Portugal:M/14, Russia:18+, Singapore:M18, South Korea:15, Spain:16, Sweden:15, Switzerland:14, Taiwan:PG-12, Turkey:15+, United Kingdom:15, United States:R;Belgium;A widowed single mother, raising her violent son alone, finds new hope when a mysterious neighbor inserts herself into their household.;Xavier Dolan;Drama;false;;8;57627;139;Anne Dorval, Antoine Olivier Pilon, Suzanne Clément;Mommy (2014);https://www.imdb.com/title/tt3612616/;2014
;Canada;"One year after returning home to Northern Ontario for his parents funeral, Robert Chenaux finds himself face-to-face with a career defining promotion; find the money, close the deal, and make partner. After a major investor backs ...";Alex Coulson, Adam McKay;Drama;false;;8;10;96;Daniel Allarie, Martin Cloutier, Mary McKay Shortt;The Long Road Home (2012);https://www.imdb.com/title/tt2235534/;2012
;Canada;"In the late 1960s, a Harvard dropout&apos;s decision to take a job in Canada is misinterpreted as a political statement.";William Johnston;Comedy, Drama;false;;8;23;84;Denis Forest, Kelly Rowan, Gareth Bennett;The Long Road Home (1989);https://www.imdb.com/title/tt0221358/;1989
;Canada;Elle Matthews: VIP Uncensored Videos Collection (2016) Nursie, CityLights, Blushing bride, Escile, Naughty Academy, Purple Wet Fantasies, Vertigo, Room for 2, Wild Open Spaces, Radioactive, Serious Craving, I try, Loft Stories, Do...;;Short;false;;8;7;;Elle Matthews;Elle Matthews: VIP Uncensored Videos Collection I (2016);https://www.imdb.com/title/tt9723020/;2016
Argentina:13, Canada:14A, France:Tous publics, Germany:12, Hong Kong:III, Ireland:18, Italy:Not Rated, Netherlands:AL, Norway:7, Portugal:M/12, South Korea:15, Sweden:7, Switzerland:7, Switzerland:7, United Kingdom:18, United States:Not Rated;France;Agnès Varda explores her memories, mostly chronologically, with photographs, film clips, interviews, reenactments, and droll, playful contemporary scenes of her narrating her story.;Agnès Varda;Documentary, Biography;false;"Les plages d&apos;Agnès";8;4237;112;Agnès Varda, André Lubrano, Blaise Fournier;The Beaches of Agnès (2008);https://www.imdb.com/title/tt1129435/;2008
;Germany;After moving to Munich with her parents Kristin and Bernd, 16-year-old Amelie has problems adjusting to her new school. Although the family seems to be happy, her parents are too busy themselves to notice how depressed she is--unt...;Maris Pfeiffer;Drama;false;;8;45;90;Maria Kwiatkowsky, Gabriela Maria Schmeide, Oliver Stokowski;Liebe Amelie (2005);https://www.imdb.com/title/tt0469116/;2005
Argentina:13, Australia:M, Brazil:18, Canada:PG, Canada:14A, Canada:13+, Denmark:15, Finland:K-15, France:12, Germany:12, Greece:K-13, Hong Kong:IIB, Iceland:16, India:UA, Ireland:15, Italy:VM14, Japan:PG-12, Malaysia:U, Netherlands:12, New Zealand:M, Norway:15, Philippines:16+, Poland:16, Portugal:M/12, Russia:12+, Singapore:PG, South Korea:12, Spain:13, Sweden:15, Taiwan:PG-12, Thailand:16+, United Kingdom:15, United States:R, United Arab Emirates:Not Rated;Hong Kong;A story between a mole in the police department and an undercover cop. Their objectives are the same: to find out who is the mole, and who is the cop.;Andrew Lau, Alan Mak;Action, Crime, Drama;false;Mou gaan dou;8;125445;101;Andy Lau, Tony Chiu-Wai Leung, Anthony Chau-Sang Wong;Infernal Affairs (2002);https://www.imdb.com/title/tt0338564/;2002
;Ireland;The controversial and moving tale of a struggling young Cork musician. We are introduced to the world of Cork hip-hop, its bitter rivalries, and the people behind the profanity.;"Shaun O&apos;Connor";Comedy, Drama;false;;8;33;89;Con Doyle, Conor Stanley, Joe Kiely;Steamin' and Dreamin': The Grandmaster Cash Story (2009);https://www.imdb.com/title/tt1545324/;2009
Australia:M, Canada:PG, Canada:14A, Canada:13+, United States:TV-MA;Japan;"A party held at Phantomhive Manor is; in secret, a set up by Ciel to gather information about one of his guests. But when the attended target is murdered in the middle of night; Ciel, Sebastian, a part time doctor and story writer...";Noriyuki Abe;Animation, Adventure, Crime;false;;8;1095;116;Daisuke Ono, Brina Palencia, Maaya Sakamoto;Black Butler: Book of Murder (2014);https://www.imdb.com/title/tt5714216/;2014
Argentina:18, Australia:MA, Brazil:16, Canada:18A, Canada:18A, Canada:PA, Canada:18, Canada:R, Canada:16+, Canada:18A, Chile:18, Colombia:18, Egypt:R, Finland:K-16, France:12, Germany:16, Hungary:18, India:A, Ireland:16, Ireland:18, Italy:VM14, Japan:R-15, Mexico:C, New Zealand:R18, Norway:15, Philippines:R-18, Poland:18, Portugal:M/16, Saudi Arabia:R18, Singapore:R21, South Africa:16, South Korea:18, Spain:18, Taiwan:R-18, United Kingdom:18, United States:TV-14, United States:R, United States:Not Rated;Japan;A pop singer gives up her career to become an actress, but she slowly goes insane when she starts being stalked by an obsessed fan and what seems to be a ghost of her past.;Satoshi Kon;Animation, Crime, Drama;false;Pâfekuto burû;8;77814;81;Junko Iwao, Rica Matsumoto, Shinpachi Tsuji;Perfect Blue (1997);https://www.imdb.com/title/tt0156887/;1997
